driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,8
Kimi  Räikkönen  RAI,2,3
Valtteri  Bottas  BOT,3,2
Max  Verstappen  VER,4,5
Lewis  Hamilton  HAM,5,4
Kevin  Magnussen  MAG,6,10
Sergio  Perez  PER,7,12
Esteban  Ocon  OCO,8,11
Carlos  Sainz  SAI,9,9
Sergey  Sirotkin  SIR,10,15
Nico  Hulkenberg  HUL,11,6
Fernando  Alonso  ALO,12,7
Stoffel  Vandoorne  VAN,13,13
Brendon  Hartley  HAR,14,20
Daniel  Ricciardo  RIC,15,1
Pierre  Gasly  GAS,16,18
Lance  Stroll  STR,17,14
Charles  Leclerc  LEC,18,19
Marcus  Ericsson  ERI,19,16
Romain  Grosjean  GRO,20,17
