driver,fp3_pos,race_pos
Valtteri  Bottas  BOT,2,3
Lewis  Hamilton  HAM,3,1
Max  Verstappen  VER,4,4
Pierre  Gasly  GAS,5,5
Antonio  Giovinazzi  GIO,6,19
Daniil  Kvyat  KVY,7,7
Kevin  Magnussen  MAG,8,14
Kimi  Räikkönen  RAI,9,17
Alexander  Albon  ALB,10,8
Nico  Hulkenberg  HUL,11,13
Daniel  Ricciardo  RIC,12,9
Romain  Grosjean  GRO,13,10
Sebastian  Vettel  VET,14,2
Carlos  Sainz  SAI,15,6
Lando  Norris  NOR,16,11
Sergio  Perez  PER,17,12
Lance  Stroll  STR,18,16
Robert  Kubica  KUB,19,18
George  Russell  RUS,20,15
