position,probability
1.0,1.1701332408599651e-57
2.0,1.4084495284133713e-44
3.0,3.317852107221773e-33
4.0,1.529616364440331e-23
5.0,1.3801229628271322e-15
6.0,2.4370408299706027e-09
7.0,8.422045664417956e-05
8.0,0.05696159494778195
9.0,0.75397414510445
10.0,0.195317217530353
11.0,0.0009902260949031336
12.0,9.82512236549264e-08
13.0,1.9078812147742076e-13
14.0,7.250608549768038e-21
15.0,5.392713507318622e-30
16.0,7.849644731112014e-41
17.0,2.2361576437256777e-53
18.0,1.2467075673048197e-67
19.0,1.3603057601761959e-83
20.0,2.904813414420956e-101
